COLLEGE OF ENGINEERING VADAKARA
CIVIL ENGINEERING,
Course Code,Course
MA101,CALCULUS
PH100,ENGINEERING PHYSICS
BE110,ENGINEERING GRAPHICS
BE10101,INTRODUCTION TO CIVIL ENGINEERING
BE103,INTRODUCTION TO SUSTAINABLE ENGINEERING
EE100,BASICS OF ELECTRICAL ENGINEERING
PH110,ENGINEERING PHYSICS LAB
CE110,CIVIL ENGINEERING WORKSHOP
EE110,ELECTRICAL ENGINEERING WORKSHOP
Register Number,MA101,PH100,BE110,BE10101,BE103,EE100,PH110,CE110,EE110
VDA15CE001,B,B+,B+,C,B,B,A+,B+,A
VDA15CE002,B+,F,A+,C,B,F,A+,A,B
VDA15CE003,C,B+,B,B,B,B,O[S],A,B+
VDA15CE004,B,B+,B,C,B,B,O[S],A,B+
VDA15CE005,F,F,C,F,F,C,B+,B+,B
VDA15CE006,F,F,C,P,B,C,A,B+,B
VDA15CE007,B+,B+,A,C,B,F,O[S],A,B+
VDA15CE008,B+,B,B,B+,B,B+,O[S],A,B+
VDA15CE009,B,B,B,B+,B+,B+,O[S],A+,A
VDA15CE010,B+,B+,B,B+,B,B+,O[S],A,A
VDA15CE011,C,B,B,B,A,C,A+,A+,A
VDA15CE012,C,F,B+,C,P,B,O[S],B+,B+
VDA15CE013,B,C,A,B,B,B,O[S],B+,B
VDA15CE014,FE,F,B,F,P,F,B+,B+,A
VDA15CE015,A,B+,B+,B,B,B,O[S],B+,A
VDA15CE016,B,B,B,C,B,B,O[S],A,A+
VDA15CE017,B,C,B+,C,C,B,A+,B+,B+
VDA15CE018,C,F,F,C,B,C,A,B+,A
VDA15CE019,C,B,B,C,B,B,A+,B+,B+
VDA15CE020,B,B,C,C,F,C,A,B+,B+
VDA15CE021,F,F,B,C,B,C,A,B+,B+
VDA15CE022,B,B,B,C,C,C,A,A+,B+
VDA15CE023,B,C,B+,C,F,C,A,B+,A
VDA15CE024,B+,F,A+,F,C,C,A,B+,B+
VDA15CE025,C,F,B,B,C,C,O[S],A,B+
VDA15CE026,B+,A+,A,A,A+,B,O[S],A,A+
VDA15CE027,B+,F,B+,B,P,C,O[S],B+,A
VDA15CE028,C,C,B,C,B+,C,O[S],B+,B+
VDA15CE029,C,B+,B+,B,B,B+,O[S],A,A
VDA15CE030,P,F,B,C,P,F,B+,B+,B
VDA15CE031,C,F,F,F,P,F,A,B,B
VDA15CE032,B,F,C,B,B,B,A,B+,A
VDA15CE033,B,F,B,C,C,C,A,B+,B+
VDA15CE034,C,B,C,B+,B+,B+,O[S],A+,A
VDA15CE035,C,F,C,P,P,F,A+,B+,B+
VDA15CE036,B,B+,F,B+,B,B+,O[S],A,B+
VDA15CE037,B+,B+,B+,B+,B,B+,O[S],A+,A+
VDA15CE038,C,C,F,C,C,C,A+,B+,B+
VDA15CE039,F,F,C,C,C,P,A,B+,B+
VDA15CE040,F,P,A,C,C,F,B+,B,A
VDA15CE041,C,C,B,C,C,C,A,B,B+
VDA15CE042,FE,F,F,P,F,F,A,B,B+
VDA15CE043,F,F,B,P,F,C,B+,C,B
VDA15CE044,F,F,F,F,FE,F,B,C,C
VDA15CE045,B,C,B,C,B,C,A+,B,C
VDA15CE046,C,F,C,C,C,C,A+,B,A+
VDA15CE047,C,F,A,F,P,F,B+,A,B
VDA15CE048,FE,F,C,P,F,F,B+,B,B
VDA15CE049,C,C,B,C,P,C,O[S],A,B+
VDA15CE050,FE,F,C,C,C,F,B+,B,B
VDA15CE051,A,B,A,B+,C,B,O[S],B+,A
VDA15CE052,B+,B,F,B,C,B,O[S],A,A
VDA15CE053,A,B,F,B+,C,B+,O[S],B+,A+
VDA15CE054,C,C,B,B,C,C,A+,B+,B+
VDA15CE055,B+,C,B+,B+,B,C,O[S],B+,B+
